,time,nat_gas_spot_price,monthly_avg_NY_natgas_price
0,2020-10-27 01:00:00,3.07,6.22
1,2020-10-27 02:00:00,3.07,6.22
2,2020-10-27 03:00:00,3.07,6.22
3,2020-10-27 04:00:00,3.07,6.22
4,2020-10-27 05:00:00,3.07,6.22
5,2020-10-27 06:00:00,3.07,6.22
6,2020-10-27 07:00:00,3.07,6.22
7,2020-10-27 08:00:00,3.07,6.22
8,2020-10-27 09:00:00,3.07,6.22
9,2020-10-27 10:00:00,3.07,6.22
10,2020-10-27 11:00:00,3.07,6.22
11,2020-10-27 12:00:00,3.07,6.22
12,2020-10-27 13:00:00,3.07,6.22
13,2020-10-27 14:00:00,3.07,6.22
14,2020-10-27 15:00:00,3.07,6.22
15,2020-10-27 16:00:00,3.07,6.22
16,2020-10-27 17:00:00,3.07,6.22
17,2020-10-27 18:00:00,3.07,6.22
18,2020-10-27 19:00:00,3.07,6.22
19,2020-10-27 20:00:00,3.07,6.22
20,2020-10-27 21:00:00,3.07,6.22
21,2020-10-27 22:00:00,3.07,6.22
22,2020-10-27 23:00:00,3.07,6.22
23,2020-10-28 00:00:00,3.14,6.22
24,2020-10-28 01:00:00,3.14,6.22
25,2020-10-28 02:00:00,3.14,6.22
26,2020-10-28 03:00:00,3.14,6.22
27,2020-10-28 04:00:00,3.14,6.22
28,2020-10-28 05:00:00,3.14,6.22
29,2020-10-28 06:00:00,3.14,6.22
30,2020-10-28 07:00:00,3.14,6.22
31,2020-10-28 08:00:00,3.14,6.22
32,2020-10-28 09:00:00,3.14,6.22
33,2020-10-28 10:00:00,3.14,6.22
34,2020-10-28 11:00:00,3.14,6.22
35,2020-10-28 12:00:00,3.14,6.22
36,2020-10-28 13:00:00,3.14,6.22
37,2020-10-28 14:00:00,3.14,6.22
38,2020-10-28 15:00:00,3.14,6.22
39,2020-10-28 16:00:00,3.14,6.22
40,2020-10-28 17:00:00,3.14,6.22
41,2020-10-28 18:00:00,3.14,6.22
42,2020-10-28 19:00:00,3.14,6.22
43,2020-10-28 20:00:00,3.14,6.22
44,2020-10-28 21:00:00,3.14,6.22
45,2020-10-28 22:00:00,3.14,6.22
46,2020-10-28 23:00:00,3.14,6.22
47,2020-10-29 00:00:00,3.06,6.22
48,2020-10-29 01:00:00,3.06,6.22
49,2020-10-29 02:00:00,3.06,6.22
50,2020-10-29 03:00:00,3.06,6.22
51,2020-10-29 04:00:00,3.06,6.22
52,2020-10-29 05:00:00,3.06,6.22
53,2020-10-29 06:00:00,3.06,6.22
54,2020-10-29 07:00:00,3.06,6.22
55,2020-10-29 08:00:00,3.06,6.22
56,2020-10-29 09:00:00,3.06,6.22
57,2020-10-29 10:00:00,3.06,6.22
58,2020-10-29 11:00:00,3.06,6.22
59,2020-10-29 12:00:00,3.06,6.22
60,2020-10-29 13:00:00,3.06,6.22
61,2020-10-29 14:00:00,3.06,6.22
62,2020-10-29 15:00:00,3.06,6.22
63,2020-10-29 16:00:00,3.06,6.22
64,2020-10-29 17:00:00,3.06,6.22
65,2020-10-29 18:00:00,3.06,6.22
66,2020-10-29 19:00:00,3.06,6.22
67,2020-10-29 20:00:00,3.06,6.22
68,2020-10-29 21:00:00,3.06,6.22
69,2020-10-29 22:00:00,3.06,6.22
70,2020-10-29 23:00:00,3.06,6.22
71,2020-10-30 00:00:00,3.03,6.22
72,2020-10-30 01:00:00,3.03,6.22
73,2020-10-30 02:00:00,3.03,6.22
74,2020-10-30 03:00:00,3.03,6.22
75,2020-10-30 04:00:00,3.03,6.22
76,2020-10-30 05:00:00,3.03,6.22
77,2020-10-30 06:00:00,3.03,6.22
78,2020-10-30 07:00:00,3.03,6.22
79,2020-10-30 08:00:00,3.03,6.22
80,2020-10-30 09:00:00,3.03,6.22
81,2020-10-30 10:00:00,3.03,6.22
82,2020-10-30 11:00:00,3.03,6.22
