"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLGBPUS","194913","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","195013","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","195113","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","195213","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","195313","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","195413","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","195513","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","195613","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","195713","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","195813","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","195913","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","196013","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","196113","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","196213","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","196313","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","196413","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","196513","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","196613","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","196713","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","196813","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","196913","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197013","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197113","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197213","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197301","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197302","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197303","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197304","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197305","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197306","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197307","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197308","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197309","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197310","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197311","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197312","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197313","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197401","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197402","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197403","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197404","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197405","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197406","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197407","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197408","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197409","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197410","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197411","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197412","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197413","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197501","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197502","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197503","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197504","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197505","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197506","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197507","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197508","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197509","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197510","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197511","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197512","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197513","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197601","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197602","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197603","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197604","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197605","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197606","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197607","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197608","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197609","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197610","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197611","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197612","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197613","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197701","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197702","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197703","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197704","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197705","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197706","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197707","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197708","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197709","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197710","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197711","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197712","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197713","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197801","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197802","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197803","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197804","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197805","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197806","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197807","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197808","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197809","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197810","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197811","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197812","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197813","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197901","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197902","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197903","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197904","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197905","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197906","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197907","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197908","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197909","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197910","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197911","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197912","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197913","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198001","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198002","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198003","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
