Country,Territory,Unit,Temperaturedailybypop,Date
USA,United States,C,4.954036770328399,1-2021
USA,United States,C,3.800378132877605,2-2021
USA,United States,C,10.622266784791023,3-2021
USA,United States,C,14.164582125345866,4-2021
USA,United States,C,18.243158155871974,5-2021
USA,United States,C,23.818170738220214,6-2021
USA,United States,C,24.834762450187437,7-2021
USA,United States,C,25.007301330566406,8-2021
USA,United States,C,21.93259754180908,9-2021
USA,United States,C,17.319165598961614,10-2021
USA,United States,C,10.028817701339722,11-2021
USA,United States,C,8.706444001966908,12-2021
