features,pearson_correlation
DA_price,1.00000
price(h-1),0.96645
price(h-2),0.91754
price(h-24),0.80060
price(h-23),0.78966
price(h-25),0.78072
price(h-22),0.76176
price(h-26),0.74479
price(h-21),0.73087
price(h-20),0.70684
price(h-49),0.70422
price(h-19),0.69195
avg_RT_price_prev_day,0.68106
price(h-168),0.61959
monthly_avg_NY_natgas_price,0.46711
nat_gas_spot_price,0.39816
load,0.39028
load(h-1),0.36647
load(h-23),0.34092
load(h-22),0.33554
load(h-2),0.33507
load(h-24),0.33029
load(h-21),0.31707
load(h-168),0.31402
load(h-25),0.30634
load(h-20),0.28929
load(h-26),0.27532
avg_actual_load_prev_day,0.26076
load(h-49),0.25625
load(h-19),0.25580
month_cos,0.20678
business_hour,0.14275
hour_sin,-0.12364
hour_cos,-0.13104
month,-0.15109
dwpt,-0.15990
temp,-0.18192
