"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLC5PUS","194913","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","195013","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","195113","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","195213","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","195313","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","195413","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","195513","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","195613","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","195713","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","195813","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","195913","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","196013","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","196113","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","196213","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","196313","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","196413","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","196513","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","196613","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","196713","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","196813","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","196913","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
