label,type,time,value
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 00:00:00","18.44"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 01:00:00","17.83"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 02:00:00","16.44"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 03:00:00","15.45"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 04:00:00","16.51"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 05:00:00","17.04"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 06:00:00","24.41"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 07:00:00","30.03"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 08:00:00","31.5"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 09:00:00","30.6"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 10:00:00","29.69"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 11:00:00","27.91"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 12:00:00","26.47"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 13:00:00","26.08"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 14:00:00","25.25"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 15:00:00","25.7"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 16:00:00","26.66"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 17:00:00","31.97"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 18:00:00","34.84"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 19:00:00","29.63"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 20:00:00","27.28"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 21:00:00","25.52"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 22:00:00","22.43"
"Zone J - NEW YORK CITY (DA)","price","2020-10-27 23:00:00","18.92"
"Zone J - NEW YORK CITY (DA)","price","2020-10-28 00:00:00","23.14"
"Zone J - NEW YORK CITY (DA)","price","2020-10-28 01:00:00","21.07"
"Zone J - NEW YORK CITY (DA)","price","2020-10-28 02:00:00","19.9"
"Zone J - NEW YORK CITY (DA)","price","2020-10-28 03:00:00","18.6"
"Zone J - NEW YORK CITY (DA)","price","2020-10-28 04:00:00","19.96"
"Zone J - NEW YORK CITY (DA)","price","2020-10-28 05:00:00","21.16"
"Zone J - NEW YORK CITY (DA)","price","2020-10-28 06:00:00","27.46"
"Zone J - NEW YORK CITY (DA)","price","2020-10-28 07:00:00","32.54"
"Zone J - NEW YORK CITY (DA)","price","2020-10-28 08:00:00","33.13"
"Zone J - NEW YORK CITY (DA)","price","2020-10-28 09:00:00","30.75"
"Zone J - NEW YORK CITY (DA)","price","2020-10-28 10:00:00","28.64"
