,time,date,day_of_week,hour,holiday,"load(d-1,h)","load(d-7,h)",avg_load(d-1),"price(d-1,h)","price(d-7,h)",avg_price(d-1),load,price
168,2020-11-08 01:00:00,2020-11-08,7,1,0,4127.0,4301.0,4527.666666666667,1.74,25.75,6.421666666666667,4104.0,5.51
169,2020-11-08 02:00:00,2020-11-08,7,2,0,4008.0,4010.0,4527.666666666667,6.49,27.39,6.421666666666667,3968.0,4.86
170,2020-11-08 03:00:00,2020-11-08,7,3,0,3898.0,3943.0,4527.666666666667,4.77,20.48,6.421666666666667,3874.0,0.7
171,2020-11-08 04:00:00,2020-11-08,7,4,0,3848.0,3926.0,4527.666666666667,4.22,19.39,6.421666666666667,3802.0,4.63
172,2020-11-08 05:00:00,2020-11-08,7,5,0,3841.0,3919.0,4527.666666666667,6.49,19.82,6.421666666666667,3775.0,4.6
173,2020-11-08 06:00:00,2020-11-08,7,6,0,3879.0,3964.0,4527.666666666667,6.53,5.61,6.421666666666667,3834.0,4.84
174,2020-11-08 07:00:00,2020-11-08,7,7,0,4044.0,4071.0,4527.666666666667,7.55,5.64,6.421666666666667,3906.0,3.23
175,2020-11-08 08:00:00,2020-11-08,7,8,0,4236.0,4243.0,4527.666666666667,7.52,7.33,6.421666666666667,4087.0,1.96
176,2020-11-08 09:00:00,2020-11-08,7,9,0,4414.0,4447.0,4527.666666666667,7.55,1.78,6.421666666666667,4255.0,1.96
177,2020-11-08 10:00:00,2020-11-08,7,10,0,4574.0,4596.0,4527.666666666667,5.62,5.22,6.421666666666667,4431.0,5.27
178,2020-11-08 11:00:00,2020-11-08,7,11,0,4744.0,4734.0,4527.666666666667,5.12,4.63,6.421666666666667,4577.0,5.77
179,2020-11-08 12:00:00,2020-11-08,7,12,0,4831.0,4874.0,4527.666666666667,5.34,1.25,6.421666666666667,4724.0,7.78
180,2020-11-08 13:00:00,2020-11-08,7,13,0,4910.0,5003.0,4527.666666666667,7.39,-0.84,6.421666666666667,4825.0,8.11
181,2020-11-08 14:00:00,2020-11-08,7,14,0,4904.0,5035.0,4527.666666666667,6.3,30.1,6.421666666666667,4812.0,10.6
182,2020-11-08 15:00:00,2020-11-08,7,15,0,4915.0,5064.0,4527.666666666667,7.42,39.79,6.421666666666667,4871.0,11.41
183,2020-11-08 16:00:00,2020-11-08,7,16,0,4911.0,5121.0,4527.666666666667,7.01,19.62,6.421666666666667,4861.0,13.69
184,2020-11-08 17:00:00,2020-11-08,7,17,0,5020.0,5162.0,4527.666666666667,3.02,-8.53,6.421666666666667,4975.0,16.06
185,2020-11-08 18:00:00,2020-11-08,7,18,0,5077.0,5250.0,4527.666666666667,13.83,36.11,6.421666666666667,5122.0,22.1
186,2020-11-08 19:00:00,2020-11-08,7,19,0,5058.0,5217.0,4527.666666666667,7.72,23.89,6.421666666666667,5057.0,20.44
187,2020-11-08 20:00:00,2020-11-08,7,20,0,4975.0,5126.0,4527.666666666667,14.47,1.16,6.421666666666667,4984.0,14.39
188,2020-11-08 21:00:00,2020-11-08,7,21,0,4837.0,4986.0,4527.666666666667,8.58,-8.58,6.421666666666667,4862.0,12.71
189,2020-11-08 22:00:00,2020-11-08,7,22,0,4726.0,4794.0,4527.666666666667,7.01,2.23,6.421666666666667,4712.0,6.44
190,2020-11-08 23:00:00,2020-11-08,7,23,0,4526.0,4567.0,4527.666666666667,6.13,11.99,6.421666666666667,4444.0,8.88
191,2020-11-09 00:00:00,2020-11-09,1,24,0,4324.0,4346.0,4466.083333333333,96.62,6.16,12.19,4252.0,5.79
192,2020-11-09 01:00:00,2020-11-09,1,1,0,4104.0,4166.0,4466.083333333333,5.51,-3.23,12.19,4042.0,4.9
193,2020-11-09 02:00:00,2020-11-09,1,2,0,3968.0,4040.0,4466.083333333333,4.86,-2.38,12.19,3942.0,1.74
194,2020-11-09 03:00:00,2020-11-09,1,3,0,3874.0,3954.0,4466.083333333333,0.7,-3.35,12.19,3835.0,5.13
195,2020-11-09 04:00:00,2020-11-09,1,4,0,3802.0,3982.0,4466.083333333333,4.63,19.98,12.19,3809.0,4.37
196,2020-11-09 05:00:00,2020-11-09,1,5,0,3775.0,4051.0,4466.083333333333,4.6,1.9,12.19,3843.0,4.38
197,2020-11-09 06:00:00,2020-11-09,1,6,0,3834.0,4345.0,4466.083333333333,4.84,17.64,12.19,4105.0,4.66
198,2020-11-09 07:00:00,2020-11-09,1,7,0,3906.0,4761.0,4466.083333333333,3.23,13.63,12.19,4512.0,10.71
199,2020-11-09 08:00:00,2020-11-09,1,8,0,4087.0,5179.0,4466.083333333333,1.96,22.31,12.19,4936.0,12.49
200,2020-11-09 09:00:00,2020-11-09,1,9,0,4255.0,5454.0,4466.083333333333,1.96,26.77,12.19,5212.0,12.63
201,2020-11-09 10:00:00,2020-11-09,1,10,0,4431.0,5639.0,4466.083333333333,5.27,33.58,12.19,5366.0,12.38
202,2020-11-09 11:00:00,2020-11-09,1,11,0,4577.0,5706.0,4466.083333333333,5.77,33.24,12.19,5454.0,6.62
203,2020-11-09 12:00:00,2020-11-09,1,12,0,4724.0,5711.0,4466.083333333333,7.78,28.46,12.19,5547.0,4.78
204,2020-11-09 13:00:00,2020-11-09,1,13,0,4825.0,5733.0,4466.083333333333,8.11,26.99,12.19,5617.0,0.66
205,2020-11-09 14:00:00,2020-11-09,1,14,0,4812.0,5727.0,4466.083333333333,10.6,27.07,12.19,5714.0,5.31
206,2020-11-09 15:00:00,2020-11-09,1,15,0,4871.0,5694.0,4466.083333333333,11.41,18.25,12.19,5692.0,18.56
207,2020-11-09 16:00:00,2020-11-09,1,16,0,4861.0,5726.0,4466.083333333333,13.69,24.05,12.19,5694.0,18.27
208,2020-11-09 17:00:00,2020-11-09,1,17,0,4975.0,5882.0,4466.083333333333,16.06,24.64,12.19,5783.0,-12.07
209,2020-11-09 18:00:00,2020-11-09,1,18,0,5122.0,5994.0,4466.083333333333,22.1,29.82,12.19,5847.0,4.76
210,2020-11-09 19:00:00,2020-11-09,1,19,0,5057.0,5819.0,4466.083333333333,20.44,26.05,12.19,5610.0,13.6
211,2020-11-09 20:00:00,2020-11-09,1,20,0,4984.0,5669.0,4466.083333333333,14.39,19.85,12.19,5413.0,18.74
212,2020-11-09 21:00:00,2020-11-09,1,21,0,4862.0,5436.0,4466.083333333333,12.71,14.19,12.19,5185.0,11.51
213,2020-11-09 22:00:00,2020-11-09,1,22,0,4712.0,5215.0,4466.083333333333,6.44,21.43,12.19,4959.0,5.33
214,2020-11-09 23:00:00,2020-11-09,1,23,0,4444.0,4907.0,4466.083333333333,8.88,8.72,12.19,4706.0,-11.99
215,2020-11-10 00:00:00,2020-11-10,2,24,0,4252.0,4519.0,4961.458333333333,5.79,6.55,6.802499999999999,4416.0,5.84
216,2020-11-10 01:00:00,2020-11-10,2,1,0,4042.0,4339.0,4961.458333333333,4.9,-2.38,6.802499999999999,4157.0,4.52
217,2020-11-10 02:00:00,2020-11-10,2,2,0,3942.0,4204.0,4961.458333333333,1.74,21.98,6.802499999999999,4015.0,1.05
218,2020-11-10 03:00:00,2020-11-10,2,3,0,3835.0,4118.0,4961.458333333333,5.13,13.68,6.802499999999999,3915.0,0.63
219,2020-11-10 04:00:00,2020-11-10,2,4,0,3809.0,4109.0,4961.458333333333,4.37,11.65,6.802499999999999,3888.0,0.63
220,2020-11-10 05:00:00,2020-11-10,2,5,0,3843.0,4179.0,4961.458333333333,4.38,-1.6,6.802499999999999,3921.0,0.63
221,2020-11-10 06:00:00,2020-11-10,2,6,0,4105.0,4455.0,4961.458333333333,4.66,5.25,6.802499999999999,4169.0,0.63
222,2020-11-10 07:00:00,2020-11-10,2,7,0,4512.0,4808.0,4961.458333333333,10.71,6.72,6.802499999999999,4563.0,-0.61
223,2020-11-10 08:00:00,2020-11-10,2,8,0,4936.0,5163.0,4961.458333333333,12.49,14.61,6.802499999999999,4990.0,4.7
