features,kendall_correlation
DA_price,1.00000
price(h-1),0.87391
price(h-2),0.78944
price(h-24),0.70041
price(h-23),0.68676
price(h-25),0.67785
price(h-22),0.65378
price(h-26),0.63733
price(h-21),0.61469
price(h-49),0.59940
price(h-20),0.57746
price(h-168),0.55416
price(h-19),0.54575
avg_RT_price_prev_day,0.53465
nat_gas_spot_price,0.45862
load,0.39042
monthly_avg_NY_natgas_price,0.37441
load(h-1),0.36412
load(h-23),0.35876
load(h-22),0.35127
load(h-24),0.34845
load(h-168),0.33831
load(h-2),0.32913
load(h-21),0.32880
load(h-25),0.32342
avg_actual_load_prev_day,0.30433
load(h-20),0.29635
load(h-26),0.29004
load(h-49),0.28418
load(h-19),0.25903
business_hour,0.16865
weekday,0.10085
hour_sin,-0.13075
hour_cos,-0.13530
month_sin,-0.21956
