"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLCASUS","200801","78.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200802","76.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200803","69.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200804","65.5","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200805","66.7","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200806","76.1","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200807","80.2","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200808","77.5","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200809","71.5","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200810","65.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200811","68.6","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200812","72","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200813","72.4","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200901","73.9","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200902","67.1","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200903","58.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200904","56","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200905","56.7","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200906","65.9","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200907","68.1","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200908","70.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200909","61","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200910","60.2","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200911","60.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200912","71.5","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","200913","64.2","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201001","74.7","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201002","73.1","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201003","62.1","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201004","56.4","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201005","61.4","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201006","73.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201007","76.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201008","75.9","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201009","65.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201010","56.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201011","59.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201012","71","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201013","67.1","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201101","72.9","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201102","65.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201103","57.6","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201104","54.9","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201105","58.6","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201106","69.6","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201107","75.2","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201108","72.9","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201109","62","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201110","54","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201111","53.4","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201112","56.6","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201113","62.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201201","56.2","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201202","53.2","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201203","46","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201204","43.6","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201205","50.9","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201206","59.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201207","69.7","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201208","66.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201209","56.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201210","53.2","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201211","58","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201212","58.5","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201213","56","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201301","61.1","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201302","60.6","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201303","57.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201304","51.1","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201305","52.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201306","63","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201307","67.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201308","65.7","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201309","60.6","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201310","53.7","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201311","55.7","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201312","63.1","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201313","59.4","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201401","70.6","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201402","71.2","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201403","61.2","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201404","50.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201405","53.6","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201406","64.1","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201407","67.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201408","66.9","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201409","58.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201410","50.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201411","55.7","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201412","56.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201413","60.5","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201501","60.6","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201502","64.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201503","50","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201504","43","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201505","49.4","1","Coal Generating Units, Capacity Factor","Percent"
