"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"COFMUAQ","197301","Not Available","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197302","Not Available","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197303","Not Available","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197304","Not Available","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197305","Not Available","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197306","Not Available","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197307","Not Available","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197308","Not Available","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197309","Not Available","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197310","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197311","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197312","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197313","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197401","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197402","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197403","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197404","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197405","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197406","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197407","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197408","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197409","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197410","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197411","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197412","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197413","11.87","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197501","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197502","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197503","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197504","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197505","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197506","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197507","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197508","10.59","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197509","10.6","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197510","11.69","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197511","11.76","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197512","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197513","10.97","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197601","Not Available","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197602","Not Available","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197603","Not Available","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197604","Not Available","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197605","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197606","11.95","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197607","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197608","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197609","12.03","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197610","12.12","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197611","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197612","12.26","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197613","12.02","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197701","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197702","13.18","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197703","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197704","13.12","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197705","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197706","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197707","13.39","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197708","13.43","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197709","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197710","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197711","13.48","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197712","13.47","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197713","13.29","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197801","13.4","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197802","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197803","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197804","Not Available","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197805","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197806","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197807","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197808","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197809","13.08","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197810","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197811","13.34","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197812","13.73","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197813","13.32","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197901","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197902","14.22","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197903","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197904","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197905","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197906","20.58","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197907","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197908","23.57","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197909","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197910","22.93","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197911","27.29","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197912","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","197913","19.85","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198001","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198002","33.67","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198003","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198004","30.78","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198005","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198006","33.71","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198007","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198008","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198009","33.86","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198010","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198011","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198012","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198013","33.45","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198101","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198102","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198103","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198104","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198105","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198106","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198107","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198108","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198109","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198110","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198111","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198112","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198113","35.55","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198201","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198202","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198203","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198204","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198205","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198206","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198207","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198208","31.44","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198209","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198210","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198211","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198212","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198213","31.86","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198301","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198302","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198303","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198304","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198305","27.81","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198306","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198307","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198308","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198309","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198310","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198311","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198312","Withheld","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
"COFMUAQ","198313","28.14","1","F.O.B. Cost of Crude Oil Imports From Angola","Dollars per Barrel"
